(T: 100.000) error: 33.00%, equation: 2.000x-1.000y-180.000=0
(T: 99.000) error: 27.00%, equation: 1.997x-1.001y-172.728=0
(T: 98.010) error: 18.00%, equation: 2.007x-0.999y-165.929=0
(T: 97.030) error: 14.00%, equation: 1.998x-0.992y-156.278=0
(T: 96.060) error: 18.00%, equation: 1.999x-0.990y-164.694=0
(T: 95.099) error: 15.00%, equation: 1.992x-0.985y-159.932=0
(T: 94.148) error: 15.00%, equation: 1.985x-0.993y-157.638=0
(T: 93.207) error: 18.00%, equation: 1.993x-0.988y-164.459=0
(T: 92.274) error: 17.00%, equation: 1.990x-0.998y-163.392=0
(T: 91.352) error: 25.00%, equation: 1.998x-1.001y-170.689=0
(T: 90.438) error: 14.00%, equation: 1.997x-1.010y-160.918=0
(T: 89.534) error: 18.00%, equation: 2.000x-1.014y-165.381=0
(T: 88.638) error: 27.00%, equation: 1.998x-1.009y-173.831=0
(T: 87.752) error: 32.00%, equation: 2.006x-1.014y-179.468=0
(T: 86.875) error: 34.00%, equation: 1.998x-1.020y-182.299=0
(T: 86.006) error: 39.00%, equation: 1.994x-1.016y-190.224=0
(T: 85.146) error: 33.00%, equation: 1.996x-1.009y-180.510=0
(T: 84.294) error: 36.00%, equation: 1.998x-1.004y-187.605=0
(T: 83.451) error: 35.00%, equation: 1.988x-1.011y-183.293=0
(T: 82.617) error: 29.00%, equation: 1.990x-1.018y-175.079=0
(T: 81.791) error: 27.00%, equation: 1.989x-1.026y-172.539=0
(T: 80.973) error: 29.00%, equation: 1.994x-1.020y-176.059=0
(T: 80.163) error: 36.00%, equation: 1.989x-1.024y-184.476=0
(T: 79.361) error: 36.00%, equation: 1.985x-1.033y-184.171=0
(T: 78.568) error: 40.00%, equation: 1.978x-1.036y-193.863=0
(T: 77.782) error: 40.00%, equation: 1.987x-1.029y-193.307=0
(T: 77.004) error: 41.00%, equation: 1.985x-1.026y-201.664=0
(T: 76.234) error: 41.00%, equation: 1.988x-1.031y-197.874=0
(T: 75.472) error: 45.00%, equation: 1.988x-1.035y-207.187=0
(T: 74.717) error: 41.00%, equation: 1.985x-1.033y-200.651=0
(T: 73.970) error: 47.00%, equation: 1.989x-1.039y-209.371=0
(T: 73.230) error: 49.00%, equation: 1.983x-1.043y-215.375=0
(T: 72.498) error: 50.00%, equation: 1.981x-1.052y-225.328=0
(T: 71.773) error: 50.00%, equation: 1.976x-1.052y-219.378=0
(T: 71.055) error: 49.00%, equation: 1.974x-1.047y-211.068=0
(T: 70.345) error: 49.00%, equation: 1.974x-1.053y-212.561=0
(T: 69.641) error: 47.00%, equation: 1.972x-1.054y-207.328=0
(T: 68.945) error: 45.00%, equation: 1.971x-1.052y-203.778=0
(T: 68.255) error: 49.00%, equation: 1.962x-1.061y-212.167=0
(T: 67.573) error: 48.00%, equation: 1.964x-1.051y-207.859=0
(T: 66.897) error: 41.00%, equation: 1.971x-1.043y-198.774=0
(T: 66.228) error: 41.00%, equation: 1.973x-1.041y-202.046=0
(T: 65.566) error: 41.00%, equation: 1.974x-1.042y-198.945=0
(T: 64.910) error: 47.00%, equation: 1.970x-1.041y-207.112=0
(T: 64.261) error: 47.00%, equation: 1.966x-1.042y-207.170=0
(T: 63.619) error: 50.00%, equation: 1.960x-1.048y-216.117=0
(T: 62.982) error: 50.00%, equation: 1.954x-1.040y-216.163=0
(T: 62.353) error: 50.00%, equation: 1.951x-1.036y-213.344=0
(T: 61.729) error: 49.00%, equation: 1.953x-1.027y-209.209=0
(T: 61.112) error: 50.00%, equation: 1.952x-1.036y-213.529=0
(T: 60.501) error: 49.00%, equation: 1.950x-1.033y-211.799=0
(T: 59.896) error: 50.00%, equation: 1.944x-1.035y-212.047=0
(T: 59.297) error: 50.00%, equation: 1.940x-1.029y-217.413=0
(T: 58.704) error: 50.00%, equation: 1.942x-1.029y-223.201=0
(T: 58.117) error: 50.00%, equation: 1.934x-1.026y-217.925=0
(T: 57.535) error: 50.00%, equation: 1.924x-1.025y-218.048=0
(T: 56.960) error: 50.00%, equation: 1.924x-1.031y-225.595=0
(T: 56.391) error: 50.00%, equation: 1.931x-1.022y-226.997=0
(T: 55.827) error: 50.00%, equation: 1.923x-1.026y-223.754=0
(T: 55.268) error: 50.00%, equation: 1.929x-1.036y-220.935=0
(T: 54.716) error: 50.00%, equation: 1.922x-1.035y-212.412=0
(T: 54.169) error: 50.00%, equation: 1.920x-1.045y-216.509=0
(T: 53.627) error: 50.00%, equation: 1.911x-1.049y-213.419=0
(T: 53.091) error: 49.00%, equation: 1.904x-1.052y-205.053=0
(T: 52.560) error: 50.00%, equation: 1.912x-1.059y-214.147=0
(T: 52.034) error: 49.00%, equation: 1.904x-1.057y-206.838=0
(T: 51.514) error: 47.00%, equation: 1.906x-1.053y-200.761=0
(T: 50.999) error: 45.00%, equation: 1.898x-1.048y-195.271=0
(T: 50.489) error: 48.00%, equation: 1.890x-1.053y-199.602=0
(T: 49.984) error: 49.00%, equation: 1.890x-1.061y-200.672=0
(T: 49.484) error: 50.00%, equation: 1.892x-1.064y-206.349=0
(T: 48.989) error: 50.00%, equation: 1.891x-1.065y-205.557=0
(T: 48.499) error: 50.00%, equation: 1.884x-1.056y-207.321=0
(T: 48.014) error: 50.00%, equation: 1.893x-1.052y-206.663=0
(T: 47.534) error: 49.00%, equation: 1.900x-1.057y-205.173=0
(T: 47.059) error: 49.00%, equation: 1.895x-1.057y-200.582=0
(T: 46.588) error: 50.00%, equation: 1.889x-1.063y-205.626=0
(T: 46.122) error: 49.00%, equation: 1.899x-1.056y-200.847=0
(T: 45.661) error: 50.00%, equation: 1.891x-1.050y-205.598=0
(T: 45.204) error: 50.00%, equation: 1.892x-1.049y-207.424=0
(T: 44.752) error: 47.00%, equation: 1.901x-1.048y-199.418=0
(T: 44.305) error: 49.00%, equation: 1.896x-1.044y-201.553=0
(T: 43.862) error: 41.00%, equation: 1.900x-1.047y-193.934=0
(T: 43.423) error: 49.00%, equation: 1.900x-1.043y-202.614=0
(T: 42.989) error: 49.00%, equation: 1.895x-1.036y-204.933=0
(T: 42.559) error: 50.00%, equation: 1.898x-1.033y-208.302=0
(T: 42.133) error: 49.00%, equation: 1.897x-1.028y-204.407=0
(T: 41.712) error: 45.00%, equation: 1.896x-1.027y-196.264=0
(T: 41.295) error: 49.00%, equation: 1.895x-1.018y-201.879=0
(T: 40.882) error: 45.00%, equation: 1.889x-1.026y-194.856=0
(T: 40.473) error: 45.00%, equation: 1.886x-1.019y-195.434=0
(T: 40.068) error: 41.00%, equation: 1.895x-1.021y-192.756=0
(T: 39.668) error: 40.00%, equation: 1.892x-1.021y-185.541=0
(T: 39.271) error: 36.00%, equation: 1.882x-1.016y-175.567=0
(T: 38.878) error: 30.00%, equation: 1.882x-1.026y-167.228=0
(T: 38.490) error: 35.00%, equation: 1.879x-1.029y-172.359=0
(T: 38.105) error: 35.00%, equation: 1.883x-1.035y-172.708=0
(T: 37.724) error: 36.00%, equation: 1.879x-1.044y-173.259=0
(T: 37.346) error: 33.00%, equation: 1.881x-1.037y-169.281=0
(T: 36.973) error: 26.00%, equation: 1.881x-1.046y-159.975=0
(T: 36.603) error: 27.00%, equation: 1.872x-1.037y-160.586=0
(T: 36.237) error: 17.00%, equation: 1.876x-1.042y-152.990=0
(T: 35.875) error: 14.00%, equation: 1.882x-1.034y-144.765=0
(T: 35.516) error: 14.00%, equation: 1.881x-1.038y-146.937=0
(T: 35.161) error: 12.00%, equation: 1.878x-1.045y-142.339=0
(T: 34.809) error: 11.00%, equation: 1.873x-1.039y-134.074=0
(T: 34.461) error: 12.00%, equation: 1.879x-1.045y-138.711=0
(T: 34.117) error: 13.00%, equation: 1.880x-1.041y-131.628=0
(T: 33.775) error: 12.00%, equation: 1.881x-1.031y-140.343=0
(T: 33.438) error: 11.00%, equation: 1.872x-1.030y-135.682=0
(T: 33.103) error: 11.00%, equation: 1.868x-1.022y-134.350=0
(T: 32.772) error: 11.00%, equation: 1.866x-1.014y-137.551=0
(T: 32.445) error: 13.00%, equation: 1.866x-1.014y-145.538=0
(T: 32.120) error: 15.00%, equation: 1.861x-1.016y-146.253=0
(T: 31.799) error: 13.00%, equation: 1.867x-1.020y-140.684=0
(T: 31.481) error: 13.00%, equation: 1.858x-1.013y-141.925=0
(T: 31.166) error: 14.00%, equation: 1.856x-1.008y-149.520=0
(T: 30.854) error: 18.00%, equation: 1.865x-1.005y-153.688=0
(T: 30.546) error: 15.00%, equation: 1.862x-1.013y-147.303=0
(T: 30.240) error: 19.00%, equation: 1.858x-1.005y-154.016=0
(T: 29.938) error: 27.00%, equation: 1.860x-1.010y-160.899=0
(T: 29.639) error: 33.00%, equation: 1.860x-1.007y-166.829=0
(T: 29.342) error: 36.00%, equation: 1.860x-1.001y-174.014=0
