(T: 100.000) error: 8.00%, cost: 88.25, equation: 1.056x-1.045y-72.447=0
(T: 99.000) error: 13.00%, cost: 175.95, equation: 1.764x-1.460y-117.772=0
(T: 98.010) error: 10.00%, cost: 153.06, equation: 1.764x-1.795y-117.772=0
(T: 97.030) error: 10.00%, cost: 150.58, equation: 1.764x-1.838y-117.772=0
(T: 96.060) error: 10.00%, cost: 150.58, equation: 1.764x-1.838y-117.772=0
(T: 95.099) error: 10.00%, cost: 150.58, equation: 1.764x-1.838y-117.772=0
(T: 94.148) error: 10.00%, cost: 150.58, equation: 1.764x-1.838y-117.772=0
(T: 93.207) error: 10.00%, cost: 151.19, equation: 1.764x-1.828y-117.772=0
(T: 92.274) error: 10.00%, cost: 150.58, equation: 1.764x-1.838y-117.772=0
(T: 91.352) error: 10.00%, cost: 150.58, equation: 1.764x-1.838y-117.772=0
(T: 90.438) error: 10.00%, cost: 150.58, equation: 1.764x-1.838y-117.772=0
(T: 89.534) error: 10.00%, cost: 150.58, equation: 1.764x-1.838y-117.772=0
(T: 88.638) error: 10.00%, cost: 151.19, equation: 1.764x-1.828y-117.772=0
(T: 87.752) error: 10.00%, cost: 150.58, equation: 1.764x-1.838y-117.772=0
(T: 86.875) error: 10.00%, cost: 150.58, equation: 1.764x-1.838y-117.772=0
(T: 86.006) error: 10.00%, cost: 151.19, equation: 1.764x-1.828y-117.772=0
(T: 85.146) error: 10.00%, cost: 150.58, equation: 1.764x-1.838y-117.772=0
(T: 84.294) error: 10.00%, cost: 153.06, equation: 1.764x-1.795y-117.772=0
(T: 83.451) error: 10.00%, cost: 151.19, equation: 1.764x-1.828y-117.772=0
(T: 82.617) error: 10.00%, cost: 150.58, equation: 1.764x-1.838y-117.772=0
(T: 81.791) error: 10.00%, cost: 153.06, equation: 1.764x-1.795y-117.772=0
(T: 80.973) error: 12.00%, cost: 213.66, equation: 2.203x-1.795y-163.631=0
(T: 80.163) error: 11.00%, cost: 208.61, equation: 2.203x-1.701y-163.631=0
(T: 79.361) error: 11.00%, cost: 208.61, equation: 2.203x-1.701y-163.631=0
(T: 78.568) error: 11.00%, cost: 208.61, equation: 2.203x-1.701y-163.631=0
(T: 77.782) error: 12.00%, cost: 213.66, equation: 2.203x-1.795y-163.631=0
(T: 77.004) error: 12.00%, cost: 213.66, equation: 2.203x-1.795y-163.631=0
(T: 76.234) error: 11.00%, cost: 208.61, equation: 2.203x-1.701y-163.631=0
(T: 75.472) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 74.717) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 73.970) error: 14.00%, cost: 281.12, equation: 2.258x-1.701y-175.565=0
(T: 73.230) error: 14.00%, cost: 281.12, equation: 2.258x-1.701y-175.565=0
(T: 72.498) error: 14.00%, cost: 281.12, equation: 2.258x-1.701y-175.565=0
(T: 71.773) error: 20.00%, cost: 138.69, equation: 0.187x-3.110y+24.730=0
(T: 71.055) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 70.345) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 69.641) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 68.945) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 68.255) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 67.573) error: 11.00%, cost: 199.51, equation: 1.920x-2.788y-112.299=0
(T: 66.897) error: 11.00%, cost: 200.84, equation: 1.920x-2.762y-112.299=0
(T: 66.228) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 65.566) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 64.910) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 64.261) error: 11.00%, cost: 200.84, equation: 1.920x-2.762y-112.299=0
(T: 63.619) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 62.982) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 62.353) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 61.729) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 61.112) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 60.501) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 59.896) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 59.297) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 58.704) error: 12.00%, cost: 167.11, equation: 1.659x-4.951y-80.437=0
(T: 58.117) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
(T: 57.535) error: 12.00%, cost: 289.14, equation: 3.409x-2.762y-242.720=0
