initial equation: 4.559x+1.042y-15.983=0
learning rate: 0.0002
(T=  1) equation: 3.862x+0.887y-15.993=0, error: 50.00%
(T=  2) equation: 3.165x+0.732y-16.003=0, error: 50.00%
(T=  3) equation: 2.469x+0.577y-16.013=0, error: 50.00%
(T=  4) equation: 1.772x+0.422y-16.023=0, error: 50.00%
(T=  5) equation: 1.075x+0.267y-16.033=0, error: 50.00%
(T=  6) equation: 0.378x+0.112y-16.043=0, error: 50.00%
(T=  7) equation: 0.229x+0.078y-16.045=0, error: 36.00%
(T=  8) equation: 0.235x+0.070y-16.045=0, error: 38.00%
(T=  9) equation: 0.239x+0.061y-16.045=0, error: 38.00%
(T= 10) equation: 0.228x+0.051y-16.045=0, error: 35.00%
(T= 11) equation: 0.235x+0.042y-16.044=0, error: 35.00%
(T= 12) equation: 0.240x+0.034y-16.044=0, error: 36.00%
(T= 13) equation: 0.244x+0.025y-16.044=0, error: 38.00%
(T= 14) equation: 0.233x+0.015y-16.044=0, error: 35.00%
(T= 15) equation: 0.238x+0.010y-16.044=0, error: 35.00%
(T= 16) equation: 0.242x+0.003y-16.044=0, error: 35.00%
(T= 17) equation: 0.246x-0.006y-16.043=0, error: 35.00%
(T= 18) equation: 0.235x-0.016y-16.043=0, error: 32.00%
(T= 19) equation: 0.238x-0.023y-16.043=0, error: 32.00%
(T= 20) equation: 0.238x-0.025y-16.043=0, error: 32.00%
(T= 21) equation: 0.238x-0.028y-16.043=0, error: 31.00%
(T= 22) equation: 0.238x-0.032y-16.043=0, error: 30.00%
(T= 23) equation: 0.239x-0.036y-16.042=0, error: 30.00%
(T= 24) equation: 0.239x-0.039y-16.042=0, error: 30.00%
(T= 25) equation: 0.239x-0.043y-16.042=0, error: 29.00%
(T= 26) equation: 0.240x-0.046y-16.042=0, error: 29.00%
(T= 27) equation: 0.240x-0.050y-16.042=0, error: 27.00%
(T= 28) equation: 0.241x-0.053y-16.041=0, error: 27.00%
(T= 29) equation: 0.241x-0.057y-16.041=0, error: 27.00%
(T= 30) equation: 0.240x-0.060y-16.041=0, error: 26.00%
(T= 31) equation: 0.239x-0.062y-16.041=0, error: 25.00%
(T= 32) equation: 0.240x-0.065y-16.041=0, error: 25.00%
(T= 33) equation: 0.242x-0.068y-16.040=0, error: 25.00%
(T= 34) equation: 0.240x-0.070y-16.040=0, error: 25.00%
(T= 35) equation: 0.242x-0.073y-16.040=0, error: 25.00%
(T= 36) equation: 0.240x-0.074y-16.040=0, error: 24.00%
(T= 37) equation: 0.242x-0.077y-16.040=0, error: 25.00%
(T= 38) equation: 0.240x-0.079y-16.039=0, error: 24.00%
(T= 39) equation: 0.242x-0.082y-16.039=0, error: 24.00%
(T= 40) equation: 0.256x-0.082y-16.039=0, error: 32.00%
(T= 41) equation: 0.242x-0.089y-16.039=0, error: 24.00%
(T= 42) equation: 0.256x-0.090y-16.038=0, error: 31.00%
(T= 43) equation: 0.257x-0.095y-16.038=0, error: 31.00%
(T= 44) equation: 0.243x-0.102y-16.038=0, error: 22.00%
(T= 45) equation: 0.257x-0.103y-16.038=0, error: 29.00%
(T= 46) equation: 0.259x-0.108y-16.038=0, error: 29.00%
(T= 47) equation: 0.258x-0.112y-16.037=0, error: 28.00%
(T= 48) equation: 0.259x-0.117y-16.037=0, error: 28.00%
(T= 49) equation: 0.260x-0.120y-16.037=0, error: 28.00%
(T= 50) equation: 0.260x-0.123y-16.037=0, error: 28.00%
(T= 51) equation: 0.260x-0.126y-16.037=0, error: 27.00%
(T= 52) equation: 0.260x-0.129y-16.036=0, error: 27.00%
(T= 53) equation: 0.261x-0.133y-16.036=0, error: 27.00%
(T= 54) equation: 0.260x-0.136y-16.036=0, error: 27.00%
(T= 55) equation: 0.261x-0.140y-16.036=0, error: 27.00%
(T= 56) equation: 0.262x-0.144y-16.036=0, error: 27.00%
(T= 57) equation: 0.263x-0.148y-16.035=0, error: 27.00%
(T= 58) equation: 0.261x-0.152y-16.035=0, error: 24.00%
(T= 59) equation: 0.259x-0.153y-16.035=0, error: 24.00%
(T= 60) equation: 0.257x-0.154y-16.035=0, error: 24.00%
(T= 61) equation: 0.256x-0.155y-16.035=0, error: 23.00%
(T= 62) equation: 0.254x-0.157y-16.034=0, error: 22.00%
(T= 63) equation: 0.252x-0.159y-16.034=0, error: 22.00%
(T= 64) equation: 0.251x-0.160y-16.034=0, error: 22.00%
(T= 65) equation: 0.266x-0.160y-16.034=0, error: 26.00%
(T= 66) equation: 0.265x-0.162y-16.033=0, error: 26.00%
(T= 67) equation: 0.263x-0.163y-16.033=0, error: 24.00%
(T= 68) equation: 0.261x-0.165y-16.033=0, error: 24.00%
(T= 69) equation: 0.259x-0.166y-16.033=0, error: 23.00%
(T= 70) equation: 0.257x-0.167y-16.033=0, error: 22.00%
(T= 71) equation: 0.256x-0.168y-16.032=0, error: 22.00%
(T= 72) equation: 0.254x-0.170y-16.032=0, error: 22.00%
(T= 73) equation: 0.253x-0.172y-16.032=0, error: 21.00%
(T= 74) equation: 0.268x-0.171y-16.032=0, error: 26.00%
(T= 75) equation: 0.267x-0.174y-16.031=0, error: 26.00%
(T= 76) equation: 0.265x-0.175y-16.031=0, error: 24.00%
(T= 77) equation: 0.263x-0.176y-16.031=0, error: 24.00%
(T= 78) equation: 0.261x-0.178y-16.031=0, error: 23.00%
(T= 79) equation: 0.259x-0.179y-16.031=0, error: 22.00%
(T= 80) equation: 0.258x-0.180y-16.030=0, error: 22.00%
(T= 81) equation: 0.256x-0.182y-16.030=0, error: 22.00%
(T= 82) equation: 0.255x-0.184y-16.030=0, error: 20.00%
(T= 83) equation: 0.270x-0.183y-16.030=0, error: 26.00%
(T= 84) equation: 0.268x-0.184y-16.029=0, error: 24.00%
(T= 85) equation: 0.266x-0.185y-16.029=0, error: 24.00%
(T= 86) equation: 0.264x-0.187y-16.029=0, error: 23.00%
(T= 87) equation: 0.262x-0.188y-16.029=0, error: 23.00%
(T= 88) equation: 0.260x-0.189y-16.029=0, error: 22.00%
(T= 89) equation: 0.258x-0.190y-16.028=0, error: 22.00%
(T= 90) equation: 0.257x-0.192y-16.028=0, error: 20.00%
(T= 91) equation: 0.256x-0.194y-16.028=0, error: 19.00%
(T= 92) equation: 0.271x-0.193y-16.028=0, error: 24.00%
(T= 93) equation: 0.269x-0.195y-16.027=0, error: 24.00%
(T= 94) equation: 0.267x-0.196y-16.027=0, error: 24.00%
(T= 95) equation: 0.265x-0.197y-16.027=0, error: 23.00%
(T= 96) equation: 0.263x-0.198y-16.027=0, error: 22.00%
(T= 97) equation: 0.261x-0.200y-16.027=0, error: 22.00%
(T= 98) equation: 0.259x-0.201y-16.026=0, error: 20.00%
(T= 99) equation: 0.258x-0.203y-16.026=0, error: 20.00%
(T=100) equation: 0.273x-0.202y-16.026=0, error: 26.00%
(T=101) equation: 0.271x-0.203y-16.026=0, error: 24.00%
(T=102) equation: 0.269x-0.204y-16.025=0, error: 24.00%
(T=103) equation: 0.267x-0.206y-16.025=0, error: 23.00%
(T=104) equation: 0.266x-0.207y-16.025=0, error: 22.00%
(T=105) equation: 0.264x-0.208y-16.025=0, error: 22.00%
(T=106) equation: 0.262x-0.209y-16.025=0, error: 20.00%
(T=107) equation: 0.260x-0.211y-16.024=0, error: 20.00%
(T=108) equation: 0.259x-0.212y-16.024=0, error: 19.00%
(T=109) equation: 0.273x-0.212y-16.024=0, error: 24.00%
(T=110) equation: 0.272x-0.213y-16.024=0, error: 24.00%
(T=111) equation: 0.270x-0.214y-16.023=0, error: 23.00%
(T=112) equation: 0.268x-0.215y-16.023=0, error: 22.00%
(T=113) equation: 0.266x-0.217y-16.023=0, error: 22.00%
(T=114) equation: 0.264x-0.218y-16.023=0, error: 20.00%
(T=115) equation: 0.262x-0.219y-16.023=0, error: 20.00%
(T=116) equation: 0.261x-0.221y-16.022=0, error: 20.00%
(T=117) equation: 0.276x-0.220y-16.022=0, error: 24.00%
(T=118) equation: 0.274x-0.221y-16.022=0, error: 24.00%
(T=119) equation: 0.272x-0.223y-16.022=0, error: 23.00%
(T=120) equation: 0.270x-0.224y-16.021=0, error: 23.00%
(T=121) equation: 0.268x-0.225y-16.021=0, error: 22.00%
(T=122) equation: 0.267x-0.226y-16.021=0, error: 20.00%
(T=123) equation: 0.265x-0.228y-16.021=0, error: 20.00%
(T=124) equation: 0.263x-0.229y-16.021=0, error: 20.00%
(T=125) equation: 0.278x-0.228y-16.020=0, error: 24.00%
(T=126) equation: 0.276x-0.229y-16.020=0, error: 24.00%
(T=127) equation: 0.274x-0.230y-16.020=0, error: 23.00%
(T=128) equation: 0.272x-0.232y-16.020=0, error: 23.00%
(T=129) equation: 0.270x-0.233y-16.019=0, error: 22.00%
(T=130) equation: 0.268x-0.234y-16.019=0, error: 20.00%
