initial equation: 1.848x-0.832y-59.947=0
learning rate: 0.0004
(T=  1) equation: 1.055x-0.999y-59.958=0, error: 23.00%
(T=  2) equation: 0.953x-1.015y-59.959=0, error: 12.00%
(T=  3) equation: 0.949x-1.018y-59.958=0, error: 12.00%
(T=  4) equation: 0.945x-1.020y-59.958=0, error: 12.00%
(T=  5) equation: 0.941x-1.023y-59.957=0, error: 12.00%
(T=  6) equation: 0.969x-1.021y-59.957=0, error: 15.00%
(T=  7) equation: 0.965x-1.021y-59.956=0, error: 14.00%
(T=  8) equation: 0.961x-1.022y-59.956=0, error: 14.00%
(T=  9) equation: 0.959x-1.022y-59.955=0, error: 14.00%
(T= 10) equation: 0.957x-1.022y-59.955=0, error: 13.00%
(T= 11) equation: 0.954x-1.022y-59.955=0, error: 12.00%
(T= 12) equation: 0.951x-1.025y-59.954=0, error: 12.00%
(T= 13) equation: 0.947x-1.027y-59.954=0, error: 12.00%
(T= 14) equation: 0.943x-1.030y-59.953=0, error: 12.00%
(T= 15) equation: 0.971x-1.028y-59.953=0, error: 15.00%
(T= 16) equation: 0.967x-1.029y-59.952=0, error: 14.00%
(T= 17) equation: 0.963x-1.029y-59.952=0, error: 14.00%
(T= 18) equation: 0.961x-1.029y-59.951=0, error: 14.00%
(T= 19) equation: 0.958x-1.030y-59.951=0, error: 14.00%
(T= 20) equation: 0.956x-1.030y-59.951=0, error: 12.00%
(T= 21) equation: 0.954x-1.030y-59.950=0, error: 12.00%
(T= 22) equation: 0.950x-1.033y-59.950=0, error: 12.00%
(T= 23) equation: 0.946x-1.035y-59.949=0, error: 12.00%
(T= 24) equation: 0.943x-1.037y-59.949=0, error: 12.00%
(T= 25) equation: 0.971x-1.036y-59.948=0, error: 15.00%
(T= 26) equation: 0.966x-1.036y-59.948=0, error: 14.00%
(T= 27) equation: 0.962x-1.037y-59.947=0, error: 14.00%
(T= 28) equation: 0.960x-1.037y-59.947=0, error: 14.00%
(T= 29) equation: 0.958x-1.037y-59.947=0, error: 12.00%
(T= 30) equation: 0.956x-1.037y-59.946=0, error: 12.00%
(T= 31) equation: 0.953x-1.038y-59.946=0, error: 12.00%
(T= 32) equation: 0.950x-1.040y-59.945=0, error: 12.00%
(T= 33) equation: 0.946x-1.043y-59.945=0, error: 12.00%
(T= 34) equation: 0.974x-1.041y-59.944=0, error: 15.00%
(T= 35) equation: 0.970x-1.041y-59.944=0, error: 14.00%
(T= 36) equation: 0.966x-1.042y-59.943=0, error: 14.00%
(T= 37) equation: 0.963x-1.042y-59.943=0, error: 14.00%
(T= 38) equation: 0.961x-1.042y-59.943=0, error: 14.00%
(T= 39) equation: 0.959x-1.042y-59.942=0, error: 12.00%
(T= 40) equation: 0.957x-1.043y-59.942=0, error: 12.00%
(T= 41) equation: 0.955x-1.043y-59.941=0, error: 12.00%
(T= 42) equation: 0.951x-1.045y-59.941=0, error: 12.00%
(T= 43) equation: 0.947x-1.048y-59.941=0, error: 12.00%
(T= 44) equation: 0.943x-1.050y-59.940=0, error: 12.00%
(T= 45) equation: 0.971x-1.049y-59.939=0, error: 14.00%
(T= 46) equation: 0.967x-1.049y-59.939=0, error: 14.00%
(T= 47) equation: 0.963x-1.050y-59.939=0, error: 14.00%
(T= 48) equation: 0.961x-1.050y-59.938=0, error: 12.00%
(T= 49) equation: 0.959x-1.050y-59.938=0, error: 12.00%
(T= 50) equation: 0.956x-1.050y-59.937=0, error: 12.00%
(T= 51) equation: 0.956x-1.049y-59.937=0, error: 12.00%
(T= 52) equation: 0.955x-1.049y-59.937=0, error: 12.00%
(T= 53) equation: 0.952x-1.051y-59.936=0, error: 12.00%
(T= 54) equation: 0.948x-1.054y-59.936=0, error: 12.00%
(T= 55) equation: 0.944x-1.056y-59.935=0, error: 12.00%
(T= 56) equation: 0.972x-1.055y-59.935=0, error: 14.00%
(T= 57) equation: 0.968x-1.055y-59.934=0, error: 14.00%
(T= 58) equation: 0.964x-1.055y-59.934=0, error: 14.00%
(T= 59) equation: 0.962x-1.056y-59.933=0, error: 12.00%
(T= 60) equation: 0.959x-1.056y-59.933=0, error: 12.00%
(T= 61) equation: 0.957x-1.056y-59.933=0, error: 12.00%
(T= 62) equation: 0.957x-1.055y-59.932=0, error: 12.00%
(T= 63) equation: 0.956x-1.054y-59.932=0, error: 12.00%
(T= 64) equation: 0.956x-1.053y-59.931=0, error: 12.00%
(T= 65) equation: 0.952x-1.056y-59.931=0, error: 12.00%
(T= 66) equation: 0.948x-1.058y-59.931=0, error: 12.00%
(T= 67) equation: 0.945x-1.061y-59.930=0, error: 12.00%
(T= 68) equation: 0.972x-1.059y-59.929=0, error: 14.00%
(T= 69) equation: 0.968x-1.060y-59.929=0, error: 14.00%
(T= 70) equation: 0.964x-1.060y-59.929=0, error: 14.00%
(T= 71) equation: 0.962x-1.060y-59.928=0, error: 12.00%
(T= 72) equation: 0.960x-1.061y-59.928=0, error: 12.00%
(T= 73) equation: 0.957x-1.061y-59.927=0, error: 12.00%
(T= 74) equation: 0.957x-1.060y-59.927=0, error: 12.00%
(T= 75) equation: 0.956x-1.059y-59.927=0, error: 12.00%
(T= 76) equation: 0.956x-1.058y-59.926=0, error: 12.00%
(T= 77) equation: 0.952x-1.061y-59.926=0, error: 12.00%
(T= 78) equation: 0.949x-1.063y-59.925=0, error: 12.00%
(T= 79) equation: 0.945x-1.066y-59.925=0, error: 12.00%
(T= 80) equation: 0.973x-1.064y-59.924=0, error: 14.00%
(T= 81) equation: 0.969x-1.065y-59.924=0, error: 14.00%
(T= 82) equation: 0.964x-1.065y-59.923=0, error: 13.00%
(T= 83) equation: 0.962x-1.065y-59.923=0, error: 12.00%
(T= 84) equation: 0.960x-1.065y-59.923=0, error: 12.00%
(T= 85) equation: 0.958x-1.066y-59.922=0, error: 12.00%
(T= 86) equation: 0.957x-1.065y-59.922=0, error: 12.00%
(T= 87) equation: 0.957x-1.064y-59.921=0, error: 12.00%
(T= 88) equation: 0.956x-1.063y-59.921=0, error: 12.00%
(T= 89) equation: 0.953x-1.066y-59.921=0, error: 12.00%
(T= 90) equation: 0.949x-1.068y-59.920=0, error: 12.00%
(T= 91) equation: 0.977x-1.067y-59.919=0, error: 15.00%
(T= 92) equation: 0.973x-1.067y-59.919=0, error: 14.00%
(T= 93) equation: 0.968x-1.067y-59.919=0, error: 14.00%
(T= 94) equation: 0.966x-1.068y-59.918=0, error: 14.00%
(T= 95) equation: 0.964x-1.068y-59.918=0, error: 12.00%
(T= 96) equation: 0.962x-1.068y-59.917=0, error: 12.00%
(T= 97) equation: 0.960x-1.068y-59.917=0, error: 12.00%
(T= 98) equation: 0.957x-1.068y-59.917=0, error: 12.00%
(T= 99) equation: 0.957x-1.068y-59.916=0, error: 12.00%
(T=100) equation: 0.956x-1.067y-59.916=0, error: 12.00%
(T=101) equation: 0.953x-1.069y-59.915=0, error: 12.00%
(T=102) equation: 0.949x-1.072y-59.915=0, error: 12.00%
(T=103) equation: 0.977x-1.070y-59.914=0, error: 15.00%
(T=104) equation: 0.973x-1.071y-59.914=0, error: 14.00%
(T=105) equation: 0.969x-1.071y-59.913=0, error: 14.00%
(T=106) equation: 0.966x-1.071y-59.913=0, error: 13.00%
(T=107) equation: 0.964x-1.071y-59.913=0, error: 12.00%
(T=108) equation: 0.962x-1.072y-59.912=0, error: 12.00%
(T=109) equation: 0.960x-1.072y-59.912=0, error: 12.00%
(T=110) equation: 0.958x-1.072y-59.911=0, error: 12.00%
(T=111) equation: 0.957x-1.071y-59.911=0, error: 12.00%
(T=112) equation: 0.957x-1.070y-59.911=0, error: 12.00%
(T=113) equation: 0.953x-1.073y-59.910=0, error: 12.00%
(T=114) equation: 0.949x-1.075y-59.910=0, error: 12.00%
(T=115) equation: 0.977x-1.074y-59.909=0, error: 15.00%
(T=116) equation: 0.973x-1.074y-59.909=0, error: 14.00%
(T=117) equation: 0.969x-1.075y-59.908=0, error: 14.00%
(T=118) equation: 0.966x-1.075y-59.908=0, error: 13.00%
(T=119) equation: 0.964x-1.075y-59.907=0, error: 12.00%
(T=120) equation: 0.962x-1.075y-59.907=0, error: 12.00%
(T=121) equation: 0.960x-1.075y-59.907=0, error: 12.00%
(T=122) equation: 0.959x-1.075y-59.906=0, error: 12.00%
(T=123) equation: 0.959x-1.074y-59.906=0, error: 12.00%
(T=124) equation: 0.958x-1.073y-59.905=0, error: 12.00%
(T=125) equation: 0.958x-1.072y-59.905=0, error: 12.00%
(T=126) equation: 0.957x-1.071y-59.905=0, error: 12.00%
(T=127) equation: 0.957x-1.070y-59.904=0, error: 12.00%
(T=128) equation: 0.956x-1.069y-59.904=0, error: 12.00%
(T=129) equation: 0.953x-1.072y-59.903=0, error: 12.00%
(T=130) equation: 0.949x-1.074y-59.903=0, error: 12.00%
(T=131) equation: 0.977x-1.073y-59.902=0, error: 15.00%
(T=132) equation: 0.973x-1.073y-59.902=0, error: 14.00%
(T=133) equation: 0.969x-1.074y-59.901=0, error: 14.00%
(T=134) equation: 0.966x-1.074y-59.901=0, error: 13.00%
(T=135) equation: 0.964x-1.074y-59.901=0, error: 12.00%
(T=136) equation: 0.962x-1.074y-59.900=0, error: 12.00%
(T=137) equation: 0.960x-1.075y-59.900=0, error: 12.00%
(T=138) equation: 0.959x-1.074y-59.899=0, error: 12.00%
(T=139) equation: 0.959x-1.073y-59.899=0, error: 12.00%
(T=140) equation: 0.958x-1.072y-59.899=0, error: 12.00%
(T=141) equation: 0.958x-1.071y-59.898=0, error: 12.00%
(T=142) equation: 0.957x-1.070y-59.898=0, error: 12.00%
(T=143) equation: 0.957x-1.070y-59.897=0, error: 12.00%
(T=144) equation: 0.956x-1.069y-59.897=0, error: 12.00%
(T=145) equation: 0.956x-1.068y-59.897=0, error: 12.00%
(T=146) equation: 0.952x-1.070y-59.896=0, error: 12.00%
(T=147) equation: 0.948x-1.073y-59.896=0, error: 12.00%
(T=148) equation: 0.976x-1.071y-59.895=0, error: 15.00%
(T=149) equation: 0.972x-1.072y-59.895=0, error: 14.00%
(T=150) equation: 0.968x-1.072y-59.894=0, error: 14.00%
(T=151) equation: 0.966x-1.072y-59.894=0, error: 13.00%
(T=152) equation: 0.964x-1.073y-59.893=0, error: 12.00%
(T=153) equation: 0.961x-1.073y-59.893=0, error: 12.00%
(T=154) equation: 0.959x-1.073y-59.893=0, error: 12.00%
(T=155) equation: 0.959x-1.072y-59.892=0, error: 12.00%
(T=156) equation: 0.958x-1.071y-59.892=0, error: 12.00%
(T=157) equation: 0.958x-1.070y-59.891=0, error: 12.00%
(T=158) equation: 0.957x-1.070y-59.891=0, error: 12.00%
(T=159) equation: 0.957x-1.069y-59.891=0, error: 12.00%
(T=160) equation: 0.956x-1.068y-59.890=0, error: 12.00%
(T=161) equation: 0.956x-1.067y-59.890=0, error: 12.00%
