initial equation: 1.298x+1.610y+94.964=0
learning rate: 0.0005
(T=  1) equation: -0.444x+1.223y+94.939=0, error: 50.00%
(T=  2) equation: -0.871x+0.990y+94.929=0, error: 50.00%
(T=  3) equation: -0.897x+0.845y+94.925=0, error: 51.00%
(T=  4) equation: -0.878x+0.707y+94.921=0, error: 50.00%
(T=  5) equation: -0.857x+0.574y+94.917=0, error: 50.00%
(T=  6) equation: -0.882x+0.437y+94.912=0, error: 51.00%
(T=  7) equation: -0.829x+0.312y+94.909=0, error: 50.00%
(T=  8) equation: -0.817x+0.186y+94.905=0, error: 50.00%
(T=  9) equation: -0.852x+0.057y+94.900=0, error: 50.00%
(T= 10) equation: -0.810x-0.059y+94.897=0, error: 50.00%
(T= 11) equation: -0.816x-0.179y+94.893=0, error: 50.00%
(T= 12) equation: -0.821x-0.299y+94.889=0, error: 50.00%
(T= 13) equation: -0.785x-0.404y+94.885=0, error: 50.00%
(T= 14) equation: -0.746x-0.510y+94.882=0, error: 50.00%
(T= 15) equation: -0.763x-0.617y+94.878=0, error: 50.00%
(T= 16) equation: -0.761x-0.708y+94.874=0, error: 50.00%
(T= 17) equation: -0.754x-0.795y+94.871=0, error: 50.00%
(T= 18) equation: -0.745x-0.883y+94.867=0, error: 50.00%
(T= 19) equation: -0.735x-0.970y+94.864=0, error: 50.00%
(T= 20) equation: -0.726x-1.058y+94.860=0, error: 50.00%
(T= 21) equation: -0.740x-1.143y+94.857=0, error: 51.00%
(T= 22) equation: -0.741x-1.221y+94.853=0, error: 52.00%
(T= 23) equation: -0.742x-1.300y+94.850=0, error: 51.00%
(T= 24) equation: -0.711x-1.374y+94.847=0, error: 51.00%
(T= 25) equation: -0.715x-1.450y+94.843=0, error: 50.00%
(T= 26) equation: -0.673x-1.518y+94.840=0, error: 50.00%
(T= 27) equation: -0.677x-1.593y+94.837=0, error: 50.00%
(T= 28) equation: -0.639x-1.657y+94.834=0, error: 50.00%
(T= 29) equation: -0.629x-1.730y+94.830=0, error: 50.00%
(T= 30) equation: -0.619x-1.802y+94.827=0, error: 49.00%
(T= 31) equation: -0.622x-1.871y+94.823=0, error: 48.00%
(T= 32) equation: -0.615x-1.938y+94.820=0, error: 48.00%
(T= 33) equation: -0.608x-2.005y+94.816=0, error: 47.00%
(T= 34) equation: -0.572x-2.064y+94.813=0, error: 48.00%
(T= 35) equation: -0.589x-2.122y+94.810=0, error: 47.00%
(T= 36) equation: -0.591x-2.182y+94.806=0, error: 46.00%
(T= 37) equation: -0.565x-2.234y+94.803=0, error: 47.00%
(T= 38) equation: -0.571x-2.292y+94.800=0, error: 46.00%
(T= 39) equation: -0.545x-2.344y+94.797=0, error: 46.00%
(T= 40) equation: -0.550x-2.401y+94.793=0, error: 46.00%
(T= 41) equation: -0.580x-2.454y+94.790=0, error: 44.00%
(T= 42) equation: -0.578x-2.502y+94.787=0, error: 44.00%
(T= 43) equation: -0.575x-2.550y+94.784=0, error: 43.00%
(T= 44) equation: -0.573x-2.595y+94.781=0, error: 43.00%
(T= 45) equation: -0.570x-2.639y+94.778=0, error: 43.00%
(T= 46) equation: -0.567x-2.684y+94.775=0, error: 44.00%
(T= 47) equation: -0.560x-2.729y+94.772=0, error: 44.00%
(T= 48) equation: -0.521x-2.765y+94.769=0, error: 42.00%
(T= 49) equation: -0.519x-2.810y+94.766=0, error: 43.00%
(T= 50) equation: -0.516x-2.854y+94.763=0, error: 43.00%
(T= 51) equation: -0.513x-2.898y+94.760=0, error: 43.00%
(T= 52) equation: -0.511x-2.943y+94.757=0, error: 43.00%
(T= 53) equation: -0.471x-2.979y+94.755=0, error: 42.00%
(T= 54) equation: -0.469x-3.024y+94.752=0, error: 42.00%
(T= 55) equation: -0.466x-3.068y+94.749=0, error: 42.00%
(T= 56) equation: -0.463x-3.113y+94.746=0, error: 42.00%
(T= 57) equation: -0.461x-3.157y+94.743=0, error: 41.00%
(T= 58) equation: -0.459x-3.199y+94.740=0, error: 41.00%
(T= 59) equation: -0.462x-3.239y+94.737=0, error: 39.00%
(T= 60) equation: -0.465x-3.279y+94.734=0, error: 40.00%
(T= 61) equation: -0.481x-3.319y+94.731=0, error: 38.00%
(T= 62) equation: -0.457x-3.352y+94.728=0, error: 40.00%
(T= 63) equation: -0.473x-3.392y+94.725=0, error: 37.00%
(T= 64) equation: -0.448x-3.424y+94.723=0, error: 39.00%
(T= 65) equation: -0.471x-3.461y+94.720=0, error: 35.00%
(T= 66) equation: -0.447x-3.490y+94.717=0, error: 37.00%
(T= 67) equation: -0.429x-3.520y+94.715=0, error: 37.00%
(T= 68) equation: -0.460x-3.555y+94.712=0, error: 35.00%
(T= 69) equation: -0.457x-3.581y+94.709=0, error: 35.00%
(T= 70) equation: -0.412x-3.601y+94.707=0, error: 37.00%
(T= 71) equation: -0.432x-3.636y+94.704=0, error: 35.00%
(T= 72) equation: -0.407x-3.653y+94.702=0, error: 36.00%
(T= 73) equation: -0.427x-3.688y+94.699=0, error: 35.00%
(T= 74) equation: -0.430x-3.712y+94.697=0, error: 35.00%
(T= 75) equation: -0.410x-3.727y+94.695=0, error: 35.00%
(T= 76) equation: -0.428x-3.747y+94.692=0, error: 35.00%
(T= 77) equation: -0.408x-3.762y+94.690=0, error: 35.00%
(T= 78) equation: -0.425x-3.783y+94.688=0, error: 34.00%
(T= 79) equation: -0.421x-3.806y+94.685=0, error: 34.00%
(T= 80) equation: -0.401x-3.820y+94.683=0, error: 35.00%
(T= 81) equation: -0.418x-3.840y+94.681=0, error: 34.00%
(T= 82) equation: -0.394x-3.854y+94.679=0, error: 35.00%
(T= 83) equation: -0.411x-3.874y+94.676=0, error: 34.00%
(T= 84) equation: -0.390x-3.888y+94.674=0, error: 35.00%
(T= 85) equation: -0.408x-3.909y+94.672=0, error: 34.00%
(T= 86) equation: -0.387x-3.923y+94.670=0, error: 35.00%
(T= 87) equation: -0.404x-3.943y+94.667=0, error: 32.00%
(T= 88) equation: -0.384x-3.957y+94.665=0, error: 34.00%
(T= 89) equation: -0.402x-3.977y+94.663=0, error: 32.00%
(T= 90) equation: -0.378x-3.990y+94.661=0, error: 34.00%
(T= 91) equation: -0.397x-4.011y+94.658=0, error: 32.00%
(T= 92) equation: -0.372x-4.024y+94.656=0, error: 34.00%
(T= 93) equation: -0.401x-4.042y+94.654=0, error: 31.00%
(T= 94) equation: -0.384x-4.054y+94.652=0, error: 32.00%
(T= 95) equation: -0.374x-4.066y+94.650=0, error: 32.00%
(T= 96) equation: -0.364x-4.079y+94.648=0, error: 33.00%
(T= 97) equation: -0.393x-4.097y+94.645=0, error: 31.00%
(T= 98) equation: -0.376x-4.109y+94.643=0, error: 32.00%
(T= 99) equation: -0.366x-4.121y+94.641=0, error: 32.00%
(T=100) equation: -0.360x-4.135y+94.639=0, error: 32.00%
(T=101) equation: -0.353x-4.148y+94.637=0, error: 31.00%
(T=102) equation: -0.382x-4.166y+94.635=0, error: 29.00%
(T=103) equation: -0.366x-4.178y+94.633=0, error: 32.00%
(T=104) equation: -0.355x-4.190y+94.631=0, error: 32.00%
(T=105) equation: -0.349x-4.203y+94.629=0, error: 32.00%
(T=106) equation: -0.378x-4.221y+94.626=0, error: 28.00%
(T=107) equation: -0.361x-4.233y+94.624=0, error: 31.00%
(T=108) equation: -0.351x-4.246y+94.622=0, error: 32.00%
(T=109) equation: -0.341x-4.259y+94.620=0, error: 32.00%
(T=110) equation: -0.370x-4.276y+94.618=0, error: 28.00%
(T=111) equation: -0.353x-4.288y+94.616=0, error: 30.00%
(T=112) equation: -0.343x-4.301y+94.614=0, error: 31.00%
(T=113) equation: -0.333x-4.314y+94.612=0, error: 31.00%
(T=114) equation: -0.362x-4.331y+94.609=0, error: 28.00%
(T=115) equation: -0.345x-4.343y+94.607=0, error: 28.00%
(T=116) equation: -0.335x-4.356y+94.605=0, error: 31.00%
(T=117) equation: -0.329x-4.369y+94.603=0, error: 31.00%
(T=118) equation: -0.371x-4.385y+94.601=0, error: 27.00%
(T=119) equation: -0.370x-4.395y+94.599=0, error: 27.00%
(T=120) equation: -0.370x-4.405y+94.597=0, error: 26.00%
